Fund_Name,NAV,Date
SBI Small Cap Fund - Direct Plan - Growth,128.8274,09-05-2023
SBI Small Cap Fund - Direct Plan - Growth,128.9877,08-05-2023
SBI Small Cap Fund - Direct Plan - Growth,127.7371,05-05-2023
SBI Small Cap Fund - Direct Plan - Growth,128.1846,04-05-2023
SBI Small Cap Fund - Direct Plan - Growth,127.493,03-05-2023
SBI Small Cap Fund - Direct Plan - Growth,127.3545,02-05-2023
SBI Small Cap Fund - Direct Plan - Growth,127.1712,28-04-2023
SBI Small Cap Fund - Direct Plan - Growth,126.338,27-04-2023
SBI Small Cap Fund - Direct Plan - Growth,125.8618,26-04-2023
SBI Small Cap Fund - Direct Plan - Growth,125.3949,25-04-2023
SBI Small Cap Fund - Direct Plan - Growth,125.372,24-04-2023
SBI Small Cap Fund - Direct Plan - Growth,125.2284,21-04-2023
SBI Small Cap Fund - Direct Plan - Growth,125.3792,20-04-2023
SBI Small Cap Fund - Direct Plan - Growth,124.6246,19-04-2023
SBI Small Cap Fund - Direct Plan - Growth,124.3244,18-04-2023
SBI Small Cap Fund - Direct Plan - Growth,124.2728,17-04-2023
SBI Small Cap Fund - Direct Plan - Growth,123.9911,13-04-2023
SBI Small Cap Fund - Direct Plan - Growth,123.6808,12-04-2023
SBI Small Cap Fund - Direct Plan - Growth,123.2215,11-04-2023
SBI Small Cap Fund - Direct Plan - Growth,122.9416,10-04-2023
SBI Small Cap Fund - Direct Plan - Growth,122.7811,06-04-2023
SBI Small Cap Fund - Direct Plan - Growth,122.6212,05-04-2023
SBI Small Cap Fund - Direct Plan - Growth,122.1271,03-04-2023
SBI Small Cap Fund - Direct Plan - Growth,121.7144,31-03-2023
SBI Small Cap Fund - Direct Plan - Growth,120.0371,29-03-2023
SBI Small Cap Fund - Direct Plan - Growth,118.3058,28-03-2023
SBI Small Cap Fund - Direct Plan - Growth,119.383,27-03-2023
SBI Small Cap Fund - Direct Plan - Growth,120.2745,24-03-2023
SBI Small Cap Fund - Direct Plan - Growth,121.7065,23-03-2023
SBI Small Cap Fund - Direct Plan - Growth,121.4156,22-03-2023
SBI Small Cap Fund - Direct Plan - Growth,120.9953,21-03-2023
SBI Small Cap Fund - Direct Plan - Growth,120.3344,20-03-2023
SBI Small Cap Fund - Direct Plan - Growth,121.446,17-03-2023
SBI Small Cap Fund - Direct Plan - Growth,120.9417,16-03-2023
SBI Small Cap Fund - Direct Plan - Growth,121.8605,15-03-2023
SBI Small Cap Fund - Direct Plan - Growth,121.7529,14-03-2023
SBI Small Cap Fund - Direct Plan - Growth,122.7771,13-03-2023
SBI Small Cap Fund - Direct Plan - Growth,124.211,10-03-2023
SBI Small Cap Fund - Direct Plan - Growth,124.5502,09-03-2023
SBI Small Cap Fund - Direct Plan - Growth,124.7469,08-03-2023
SBI Small Cap Fund - Direct Plan - Growth,124.8339,06-03-2023
SBI Small Cap Fund - Direct Plan - Growth,123.9481,03-03-2023
SBI Small Cap Fund - Direct Plan - Growth,123.3993,02-03-2023
SBI Small Cap Fund - Direct Plan - Growth,123.665,01-03-2023
SBI Small Cap Fund - Direct Plan - Growth,122.8701,28-02-2023
SBI Small Cap Fund - Direct Plan - Growth,122.0552,27-02-2023
SBI Small Cap Fund - Direct Plan - Growth,123.1777,24-02-2023
SBI Small Cap Fund - Direct Plan - Growth,123.0513,23-02-2023
SBI Small Cap Fund - Direct Plan - Growth,123.392,22-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.5172,21-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.9814,20-02-2023
SBI Small Cap Fund - Direct Plan - Growth,125.1119,17-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.9714,16-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.4506,15-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.0916,14-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.4056,13-02-2023
SBI Small Cap Fund - Direct Plan - Growth,125.1702,10-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.7379,09-02-2023
SBI Small Cap Fund - Direct Plan - Growth,125.1117,08-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.4182,07-02-2023
SBI Small Cap Fund - Direct Plan - Growth,123.9921,06-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.2907,03-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.0083,02-02-2023
SBI Small Cap Fund - Direct Plan - Growth,123.4784,01-02-2023
SBI Small Cap Fund - Direct Plan - Growth,124.3138,31-01-2023
SBI Small Cap Fund - Direct Plan - Growth,122.3633,30-01-2023
SBI Small Cap Fund - Direct Plan - Growth,122.6962,27-01-2023
SBI Small Cap Fund - Direct Plan - Growth,123.7522,25-01-2023
SBI Small Cap Fund - Direct Plan - Growth,124.1328,24-01-2023
SBI Small Cap Fund - Direct Plan - Growth,124.425,23-01-2023
SBI Small Cap Fund - Direct Plan - Growth,124.805,20-01-2023
SBI Small Cap Fund - Direct Plan - Growth,125.5433,19-01-2023
SBI Small Cap Fund - Direct Plan - Growth,125.7186,18-01-2023
SBI Small Cap Fund - Direct Plan - Growth,125.8074,17-01-2023
SBI Small Cap Fund - Direct Plan - Growth,125.9832,16-01-2023
SBI Small Cap Fund - Direct Plan - Growth,126.0588,13-01-2023
SBI Small Cap Fund - Direct Plan - Growth,126.1964,12-01-2023
SBI Small Cap Fund - Direct Plan - Growth,125.908,11-01-2023
SBI Small Cap Fund - Direct Plan - Growth,125.8004,10-01-2023
SBI Small Cap Fund - Direct Plan - Growth,126.4462,09-01-2023
SBI Small Cap Fund - Direct Plan - Growth,125.7185,06-01-2023
SBI Small Cap Fund - Direct Plan - Growth,126.7327,05-01-2023
SBI Small Cap Fund - Direct Plan - Growth,126.7266,04-01-2023
SBI Small Cap Fund - Direct Plan - Growth,127.7046,03-01-2023
SBI Small Cap Fund - Direct Plan - Growth,127.8404,02-01-2023
SBI Small Cap Fund - Direct Plan - Growth,127.3348,30-12-2022
SBI Small Cap Fund - Direct Plan - Growth,127.0211,29-12-2022
SBI Small Cap Fund - Direct Plan - Growth,126.6449,28-12-2022
SBI Small Cap Fund - Direct Plan - Growth,126.32,27-12-2022
SBI Small Cap Fund - Direct Plan - Growth,125.3049,26-12-2022
SBI Small Cap Fund - Direct Plan - Growth,122.5751,23-12-2022
SBI Small Cap Fund - Direct Plan - Growth,125.9663,22-12-2022
SBI Small Cap Fund - Direct Plan - Growth,128.1564,21-12-2022
SBI Small Cap Fund - Direct Plan - Growth,130.2814,20-12-2022
SBI Small Cap Fund - Direct Plan - Growth,129.9222,19-12-2022
SBI Small Cap Fund - Direct Plan - Growth,129.8891,16-12-2022
SBI Small Cap Fund - Direct Plan - Growth,130.9591,15-12-2022
SBI Small Cap Fund - Direct Plan - Growth,131.9951,14-12-2022
SBI Small Cap Fund - Direct Plan - Growth,131.0784,13-12-2022
SBI Small Cap Fund - Direct Plan - Growth,130.6256,12-12-2022
SBI Small Cap Fund - Direct Plan - Growth,130.5903,09-12-2022
SBI Small Cap Fund - Direct Plan - Growth,131.3288,08-12-2022
SBI Small Cap Fund - Direct Plan - Growth,130.6184,07-12-2022
SBI Small Cap Fund - Direct Plan - Growth,130.9286,06-12-2022
SBI Small Cap Fund - Direct Plan - Growth,131.0408,05-12-2022
SBI Small Cap Fund - Direct Plan - Growth,130.6855,02-12-2022
SBI Small Cap Fund - Direct Plan - Growth,130.2758,01-12-2022
SBI Small Cap Fund - Direct Plan - Growth,129.5097,30-11-2022
SBI Small Cap Fund - Direct Plan - Growth,128.544,29-11-2022
SBI Small Cap Fund - Direct Plan - Growth,129.0166,28-11-2022
SBI Small Cap Fund - Direct Plan - Growth,128.5562,25-11-2022
SBI Small Cap Fund - Direct Plan - Growth,128.2567,24-11-2022
SBI Small Cap Fund - Direct Plan - Growth,127.7493,23-11-2022
SBI Small Cap Fund - Direct Plan - Growth,127.4269,22-11-2022
SBI Small Cap Fund - Direct Plan - Growth,127.6535,21-11-2022
SBI Small Cap Fund - Direct Plan - Growth,127.4022,18-11-2022
SBI Small Cap Fund - Direct Plan - Growth,128.0744,17-11-2022
SBI Small Cap Fund - Direct Plan - Growth,128.1135,16-11-2022
SBI Small Cap Fund - Direct Plan - Growth,127.4028,15-11-2022
SBI Small Cap Fund - Direct Plan - Growth,127.4932,14-11-2022
SBI Small Cap Fund - Direct Plan - Growth,127.747,11-11-2022
SBI Small Cap Fund - Direct Plan - Growth,127.722,10-11-2022
SBI Small Cap Fund - Direct Plan - Growth,128.443,09-11-2022
SBI Small Cap Fund - Direct Plan - Growth,128.9903,07-11-2022
SBI Small Cap Fund - Direct Plan - Growth,128.615,04-11-2022
SBI Small Cap Fund - Direct Plan - Growth,128.4345,03-11-2022
SBI Small Cap Fund - Direct Plan - Growth,128.4568,02-11-2022
SBI Small Cap Fund - Direct Plan - Growth,127.8603,01-11-2022
SBI Small Cap Fund - Direct Plan - Growth,127.6411,31-10-2022
SBI Small Cap Fund - Direct Plan - Growth,127.8495,28-10-2022
SBI Small Cap Fund - Direct Plan - Growth,128.5742,27-10-2022
SBI Small Cap Fund - Direct Plan - Growth,128.1443,25-10-2022
SBI Small Cap Fund - Direct Plan - Growth,127.685,21-10-2022
SBI Small Cap Fund - Direct Plan - Growth,128.7159,20-10-2022
SBI Small Cap Fund - Direct Plan - Growth,128.6649,19-10-2022
SBI Small Cap Fund - Direct Plan - Growth,128.0846,18-10-2022
SBI Small Cap Fund - Direct Plan - Growth,127.4936,17-10-2022
SBI Small Cap Fund - Direct Plan - Growth,127.3371,14-10-2022
SBI Small Cap Fund - Direct Plan - Growth,127.0832,13-10-2022
SBI Small Cap Fund - Direct Plan - Growth,127.8117,12-10-2022
SBI Small Cap Fund - Direct Plan - Growth,127.5503,11-10-2022
SBI Small Cap Fund - Direct Plan - Growth,128.2879,10-10-2022
SBI Small Cap Fund - Direct Plan - Growth,129.3889,07-10-2022
SBI Small Cap Fund - Direct Plan - Growth,128.8844,06-10-2022
SBI Small Cap Fund - Direct Plan - Growth,128.2436,04-10-2022
SBI Small Cap Fund - Direct Plan - Growth,127.1351,03-10-2022
SBI Small Cap Fund - Direct Plan - Growth,126.7384,30-09-2022
SBI Small Cap Fund - Direct Plan - Growth,125.2023,29-09-2022
SBI Small Cap Fund - Direct Plan - Growth,124.4319,28-09-2022
SBI Small Cap Fund - Direct Plan - Growth,124.6406,27-09-2022
SBI Small Cap Fund - Direct Plan - Growth,123.8437,26-09-2022
SBI Small Cap Fund - Direct Plan - Growth,126.9671,23-09-2022
SBI Small Cap Fund - Direct Plan - Growth,128.606,22-09-2022
SBI Small Cap Fund - Direct Plan - Growth,128.623,21-09-2022
SBI Small Cap Fund - Direct Plan - Growth,128.8983,20-09-2022
SBI Small Cap Fund - Direct Plan - Growth,127.8166,19-09-2022
SBI Small Cap Fund - Direct Plan - Growth,128.0029,16-09-2022
SBI Small Cap Fund - Direct Plan - Growth,130.8477,15-09-2022
SBI Small Cap Fund - Direct Plan - Growth,131.5105,14-09-2022
SBI Small Cap Fund - Direct Plan - Growth,130.9984,13-09-2022
SBI Small Cap Fund - Direct Plan - Growth,131.2711,12-09-2022
SBI Small Cap Fund - Direct Plan - Growth,130.1662,09-09-2022
SBI Small Cap Fund - Direct Plan - Growth,129.8388,08-09-2022
SBI Small Cap Fund - Direct Plan - Growth,128.9903,07-09-2022
SBI Small Cap Fund - Direct Plan - Growth,127.812,06-09-2022
SBI Small Cap Fund - Direct Plan - Growth,126.9883,05-09-2022
SBI Small Cap Fund - Direct Plan - Growth,126.1091,02-09-2022
SBI Small Cap Fund - Direct Plan - Growth,124.8265,01-09-2022
SBI Small Cap Fund - Direct Plan - Growth,124.7127,30-08-2022
SBI Small Cap Fund - Direct Plan - Growth,123.2418,29-08-2022
SBI Small Cap Fund - Direct Plan - Growth,123.6562,26-08-2022
SBI Small Cap Fund - Direct Plan - Growth,123.2572,25-08-2022
SBI Small Cap Fund - Direct Plan - Growth,122.9131,24-08-2022
SBI Small Cap Fund - Direct Plan - Growth,122.1378,23-08-2022
SBI Small Cap Fund - Direct Plan - Growth,121.1594,22-08-2022
SBI Small Cap Fund - Direct Plan - Growth,121.8963,19-08-2022
SBI Small Cap Fund - Direct Plan - Growth,123.1031,18-08-2022
SBI Small Cap Fund - Direct Plan - Growth,122.7003,17-08-2022
SBI Small Cap Fund - Direct Plan - Growth,122.5798,16-08-2022
SBI Small Cap Fund - Direct Plan - Growth,122.1465,12-08-2022
SBI Small Cap Fund - Direct Plan - Growth,122.0436,11-08-2022
SBI Small Cap Fund - Direct Plan - Growth,121.7895,10-08-2022
SBI Small Cap Fund - Direct Plan - Growth,120.8529,08-08-2022
SBI Small Cap Fund - Direct Plan - Growth,119.5001,05-08-2022
SBI Small Cap Fund - Direct Plan - Growth,119.5351,04-08-2022
SBI Small Cap Fund - Direct Plan - Growth,119.3671,03-08-2022
SBI Small Cap Fund - Direct Plan - Growth,119.6709,02-08-2022
SBI Small Cap Fund - Direct Plan - Growth,118.4285,01-08-2022
SBI Small Cap Fund - Direct Plan - Growth,115.8262,29-07-2022
SBI Small Cap Fund - Direct Plan - Growth,115.4212,28-07-2022
SBI Small Cap Fund - Direct Plan - Growth,114.2238,27-07-2022
SBI Small Cap Fund - Direct Plan - Growth,113.9363,26-07-2022
SBI Small Cap Fund - Direct Plan - Growth,114.3251,25-07-2022
SBI Small Cap Fund - Direct Plan - Growth,114.09,22-07-2022
SBI Small Cap Fund - Direct Plan - Growth,113.4094,21-07-2022
SBI Small Cap Fund - Direct Plan - Growth,112.9868,20-07-2022
SBI Small Cap Fund - Direct Plan - Growth,112.8046,19-07-2022
SBI Small Cap Fund - Direct Plan - Growth,111.9322,18-07-2022
SBI Small Cap Fund - Direct Plan - Growth,111.1987,15-07-2022
SBI Small Cap Fund - Direct Plan - Growth,110.5523,14-07-2022
SBI Small Cap Fund - Direct Plan - Growth,110.6876,13-07-2022
SBI Small Cap Fund - Direct Plan - Growth,110.5217,12-07-2022
SBI Small Cap Fund - Direct Plan - Growth,111.3735,11-07-2022
SBI Small Cap Fund - Direct Plan - Growth,110.3205,08-07-2022
SBI Small Cap Fund - Direct Plan - Growth,110.0959,07-07-2022
SBI Small Cap Fund - Direct Plan - Growth,109.4531,06-07-2022
SBI Small Cap Fund - Direct Plan - Growth,108.9019,05-07-2022
SBI Small Cap Fund - Direct Plan - Growth,108.086,04-07-2022
SBI Small Cap Fund - Direct Plan - Growth,107.2511,01-07-2022
SBI Small Cap Fund - Direct Plan - Growth,107.3447,30-06-2022
SBI Small Cap Fund - Direct Plan - Growth,107.5298,29-06-2022
SBI Small Cap Fund - Direct Plan - Growth,107.8457,28-06-2022
SBI Small Cap Fund - Direct Plan - Growth,107.743,27-06-2022
SBI Small Cap Fund - Direct Plan - Growth,106.563,24-06-2022
SBI Small Cap Fund - Direct Plan - Growth,105.5826,23-06-2022
SBI Small Cap Fund - Direct Plan - Growth,104.2718,22-06-2022
SBI Small Cap Fund - Direct Plan - Growth,104.8701,21-06-2022
SBI Small Cap Fund - Direct Plan - Growth,103.2049,20-06-2022
SBI Small Cap Fund - Direct Plan - Growth,104.8911,17-06-2022
SBI Small Cap Fund - Direct Plan - Growth,105.836,16-06-2022
SBI Small Cap Fund - Direct Plan - Growth,107.9569,15-06-2022
SBI Small Cap Fund - Direct Plan - Growth,107.7655,14-06-2022
SBI Small Cap Fund - Direct Plan - Growth,108.1973,13-06-2022
SBI Small Cap Fund - Direct Plan - Growth,110.3611,10-06-2022
SBI Small Cap Fund - Direct Plan - Growth,110.773,09-06-2022
SBI Small Cap Fund - Direct Plan - Growth,110.696,08-06-2022
SBI Small Cap Fund - Direct Plan - Growth,110.8741,07-06-2022
SBI Small Cap Fund - Direct Plan - Growth,111.468,06-06-2022
SBI Small Cap Fund - Direct Plan - Growth,111.6854,03-06-2022
SBI Small Cap Fund - Direct Plan - Growth,113.0447,02-06-2022
SBI Small Cap Fund - Direct Plan - Growth,113.0469,01-06-2022
SBI Small Cap Fund - Direct Plan - Growth,111.3985,31-05-2022
SBI Small Cap Fund - Direct Plan - Growth,110.8854,30-05-2022
SBI Small Cap Fund - Direct Plan - Growth,109.1239,27-05-2022
SBI Small Cap Fund - Direct Plan - Growth,109.0641,26-05-2022
SBI Small Cap Fund - Direct Plan - Growth,108.4736,25-05-2022
SBI Small Cap Fund - Direct Plan - Growth,110.3592,24-05-2022
SBI Small Cap Fund - Direct Plan - Growth,110.7194,23-05-2022
SBI Small Cap Fund - Direct Plan - Growth,110.5206,20-05-2022
SBI Small Cap Fund - Direct Plan - Growth,109.1737,19-05-2022
SBI Small Cap Fund - Direct Plan - Growth,110.4242,18-05-2022
SBI Small Cap Fund - Direct Plan - Growth,110.5126,17-05-2022
SBI Small Cap Fund - Direct Plan - Growth,108.381,16-05-2022
SBI Small Cap Fund - Direct Plan - Growth,107.0481,13-05-2022
SBI Small Cap Fund - Direct Plan - Growth,106.8265,12-05-2022
SBI Small Cap Fund - Direct Plan - Growth,108.1924,11-05-2022
SBI Small Cap Fund - Direct Plan - Growth,109.6278,10-05-2022
SBI Small Cap Fund - Direct Plan - Growth,111.1072,09-05-2022
SBI Small Cap Fund - Direct Plan - Growth,111.917,06-05-2022
SBI Small Cap Fund - Direct Plan - Growth,113.3928,05-05-2022
SBI Small Cap Fund - Direct Plan - Growth,113.5479,04-05-2022
SBI Small Cap Fund - Direct Plan - Growth,115.6675,02-05-2022
SBI Small Cap Fund - Direct Plan - Growth,116.4371,29-04-2022
SBI Small Cap Fund - Direct Plan - Growth,117.2654,28-04-2022
SBI Small Cap Fund - Direct Plan - Growth,116.3239,27-04-2022
SBI Small Cap Fund - Direct Plan - Growth,116.5381,26-04-2022
SBI Small Cap Fund - Direct Plan - Growth,115.7364,25-04-2022
SBI Small Cap Fund - Direct Plan - Growth,116.9877,22-04-2022
SBI Small Cap Fund - Direct Plan - Growth,117.0681,21-04-2022
SBI Small Cap Fund - Direct Plan - Growth,116.0793,20-04-2022
SBI Small Cap Fund - Direct Plan - Growth,116.0671,19-04-2022
SBI Small Cap Fund - Direct Plan - Growth,117.0086,18-04-2022
SBI Small Cap Fund - Direct Plan - Growth,117.5522,13-04-2022
SBI Small Cap Fund - Direct Plan - Growth,117.6272,12-04-2022
SBI Small Cap Fund - Direct Plan - Growth,118.7434,11-04-2022
SBI Small Cap Fund - Direct Plan - Growth,118.159,08-04-2022
SBI Small Cap Fund - Direct Plan - Growth,117.3808,07-04-2022
SBI Small Cap Fund - Direct Plan - Growth,117.9615,06-04-2022
SBI Small Cap Fund - Direct Plan - Growth,117.6729,05-04-2022
SBI Small Cap Fund - Direct Plan - Growth,116.1819,04-04-2022
SBI Small Cap Fund - Direct Plan - Growth,114.8655,01-04-2022
SBI Small Cap Fund - Direct Plan - Growth,113.3881,31-03-2022
SBI Small Cap Fund - Direct Plan - Growth,113.3938,30-03-2022
SBI Small Cap Fund - Direct Plan - Growth,112.833,29-03-2022
SBI Small Cap Fund - Direct Plan - Growth,111.3773,28-03-2022
SBI Small Cap Fund - Direct Plan - Growth,111.8414,25-03-2022
SBI Small Cap Fund - Direct Plan - Growth,112.129,24-03-2022
SBI Small Cap Fund - Direct Plan - Growth,112.0594,23-03-2022
SBI Small Cap Fund - Direct Plan - Growth,111.8136,22-03-2022
SBI Small Cap Fund - Direct Plan - Growth,111.8034,21-03-2022
SBI Small Cap Fund - Direct Plan - Growth,112.1278,17-03-2022
SBI Small Cap Fund - Direct Plan - Growth,111.4996,16-03-2022
SBI Small Cap Fund - Direct Plan - Growth,110.7915,15-03-2022
SBI Small Cap Fund - Direct Plan - Growth,111.3776,14-03-2022
SBI Small Cap Fund - Direct Plan - Growth,110.3959,11-03-2022
SBI Small Cap Fund - Direct Plan - Growth,109.8399,10-03-2022
SBI Small Cap Fund - Direct Plan - Growth,108.7536,09-03-2022
SBI Small Cap Fund - Direct Plan - Growth,107.1074,08-03-2022
SBI Small Cap Fund - Direct Plan - Growth,106.6562,07-03-2022
SBI Small Cap Fund - Direct Plan - Growth,108.4432,04-03-2022
SBI Small Cap Fund - Direct Plan - Growth,109.9523,03-03-2022
SBI Small Cap Fund - Direct Plan - Growth,109.7898,02-03-2022
SBI Small Cap Fund - Direct Plan - Growth,109.8735,28-02-2022
SBI Small Cap Fund - Direct Plan - Growth,109.1447,25-02-2022
SBI Small Cap Fund - Direct Plan - Growth,105.5919,24-02-2022
SBI Small Cap Fund - Direct Plan - Growth,109.8892,23-02-2022
SBI Small Cap Fund - Direct Plan - Growth,109.2415,22-02-2022
SBI Small Cap Fund - Direct Plan - Growth,110.5555,21-02-2022
SBI Small Cap Fund - Direct Plan - Growth,112.6163,18-02-2022
SBI Small Cap Fund - Direct Plan - Growth,113.0094,17-02-2022
SBI Small Cap Fund - Direct Plan - Growth,113.4702,16-02-2022
SBI Small Cap Fund - Direct Plan - Growth,112.2859,15-02-2022
SBI Small Cap Fund - Direct Plan - Growth,111.1649,14-02-2022
SBI Small Cap Fund - Direct Plan - Growth,114.5805,11-02-2022
SBI Small Cap Fund - Direct Plan - Growth,116.361,10-02-2022
SBI Small Cap Fund - Direct Plan - Growth,116.6628,09-02-2022
SBI Small Cap Fund - Direct Plan - Growth,116.9897,08-02-2022
SBI Small Cap Fund - Direct Plan - Growth,118.1213,07-02-2022
SBI Small Cap Fund - Direct Plan - Growth,118.1779,04-02-2022
SBI Small Cap Fund - Direct Plan - Growth,117.9384,03-02-2022
SBI Small Cap Fund - Direct Plan - Growth,118.2925,02-02-2022
SBI Small Cap Fund - Direct Plan - Growth,116.8615,01-02-2022
SBI Small Cap Fund - Direct Plan - Growth,115.1383,31-01-2022
SBI Small Cap Fund - Direct Plan - Growth,113.7542,28-01-2022
SBI Small Cap Fund - Direct Plan - Growth,113.4644,27-01-2022
SBI Small Cap Fund - Direct Plan - Growth,114.9265,25-01-2022
SBI Small Cap Fund - Direct Plan - Growth,113.8388,24-01-2022
SBI Small Cap Fund - Direct Plan - Growth,118.8871,21-01-2022
SBI Small Cap Fund - Direct Plan - Growth,120.1311,20-01-2022
SBI Small Cap Fund - Direct Plan - Growth,120.1682,19-01-2022
SBI Small Cap Fund - Direct Plan - Growth,120.3738,18-01-2022
SBI Small Cap Fund - Direct Plan - Growth,121.889,17-01-2022
SBI Small Cap Fund - Direct Plan - Growth,121.5144,14-01-2022
SBI Small Cap Fund - Direct Plan - Growth,120.6145,13-01-2022
SBI Small Cap Fund - Direct Plan - Growth,120.503,12-01-2022
SBI Small Cap Fund - Direct Plan - Growth,119.2122,11-01-2022
SBI Small Cap Fund - Direct Plan - Growth,119.259,10-01-2022
SBI Small Cap Fund - Direct Plan - Growth,118.0578,07-01-2022
SBI Small Cap Fund - Direct Plan - Growth,118.078,06-01-2022
SBI Small Cap Fund - Direct Plan - Growth,117.8449,05-01-2022
SBI Small Cap Fund - Direct Plan - Growth,117.9937,04-01-2022
SBI Small Cap Fund - Direct Plan - Growth,117.8295,03-01-2022
SBI Small Cap Fund - Direct Plan - Growth,116.5135,31-12-2021
SBI Small Cap Fund - Direct Plan - Growth,115.0392,30-12-2021
SBI Small Cap Fund - Direct Plan - Growth,115.107,29-12-2021
SBI Small Cap Fund - Direct Plan - Growth,114.187,28-12-2021
SBI Small Cap Fund - Direct Plan - Growth,113.1013,27-12-2021
SBI Small Cap Fund - Direct Plan - Growth,113.0034,24-12-2021
SBI Small Cap Fund - Direct Plan - Growth,114.0603,23-12-2021
SBI Small Cap Fund - Direct Plan - Growth,113.5008,22-12-2021
SBI Small Cap Fund - Direct Plan - Growth,112.1347,21-12-2021
SBI Small Cap Fund - Direct Plan - Growth,111.4291,20-12-2021
SBI Small Cap Fund - Direct Plan - Growth,114.4182,17-12-2021
SBI Small Cap Fund - Direct Plan - Growth,115.5621,16-12-2021
SBI Small Cap Fund - Direct Plan - Growth,116.7334,15-12-2021
SBI Small Cap Fund - Direct Plan - Growth,116.5661,14-12-2021
SBI Small Cap Fund - Direct Plan - Growth,116.6731,13-12-2021
SBI Small Cap Fund - Direct Plan - Growth,117.0295,10-12-2021
SBI Small Cap Fund - Direct Plan - Growth,116.4189,09-12-2021
SBI Small Cap Fund - Direct Plan - Growth,115.9955,08-12-2021
SBI Small Cap Fund - Direct Plan - Growth,115.5693,07-12-2021
SBI Small Cap Fund - Direct Plan - Growth,114.2375,06-12-2021
SBI Small Cap Fund - Direct Plan - Growth,115.4989,03-12-2021
SBI Small Cap Fund - Direct Plan - Growth,115.1803,02-12-2021
SBI Small Cap Fund - Direct Plan - Growth,114.5225,01-12-2021
SBI Small Cap Fund - Direct Plan - Growth,114.6061,30-11-2021
SBI Small Cap Fund - Direct Plan - Growth,112.0406,29-11-2021
SBI Small Cap Fund - Direct Plan - Growth,113.7581,26-11-2021
SBI Small Cap Fund - Direct Plan - Growth,117.3365,25-11-2021
SBI Small Cap Fund - Direct Plan - Growth,116.9382,24-11-2021
SBI Small Cap Fund - Direct Plan - Growth,115.7625,23-11-2021
SBI Small Cap Fund - Direct Plan - Growth,114.5634,22-11-2021
SBI Small Cap Fund - Direct Plan - Growth,116.9958,18-11-2021
SBI Small Cap Fund - Direct Plan - Growth,118.1513,17-11-2021
SBI Small Cap Fund - Direct Plan - Growth,118.6213,16-11-2021
SBI Small Cap Fund - Direct Plan - Growth,119.239,15-11-2021
SBI Small Cap Fund - Direct Plan - Growth,119.2912,12-11-2021
SBI Small Cap Fund - Direct Plan - Growth,118.4235,11-11-2021
SBI Small Cap Fund - Direct Plan - Growth,117.9059,10-11-2021
SBI Small Cap Fund - Direct Plan - Growth,117.9077,09-11-2021
SBI Small Cap Fund - Direct Plan - Growth,117.3055,08-11-2021
SBI Small Cap Fund - Direct Plan - Growth,115.5222,03-11-2021
SBI Small Cap Fund - Direct Plan - Growth,115.5178,02-11-2021
SBI Small Cap Fund - Direct Plan - Growth,114.2579,01-11-2021
SBI Small Cap Fund - Direct Plan - Growth,113.6715,29-10-2021
SBI Small Cap Fund - Direct Plan - Growth,113.475,28-10-2021
SBI Small Cap Fund - Direct Plan - Growth,114.1178,27-10-2021
SBI Small Cap Fund - Direct Plan - Growth,113.5163,26-10-2021
SBI Small Cap Fund - Direct Plan - Growth,111.9962,25-10-2021
SBI Small Cap Fund - Direct Plan - Growth,113.4348,22-10-2021
SBI Small Cap Fund - Direct Plan - Growth,113.8861,21-10-2021
SBI Small Cap Fund - Direct Plan - Growth,113.4912,20-10-2021
SBI Small Cap Fund - Direct Plan - Growth,116.2545,19-10-2021
SBI Small Cap Fund - Direct Plan - Growth,117.5222,18-10-2021
SBI Small Cap Fund - Direct Plan - Growth,116.6919,14-10-2021
SBI Small Cap Fund - Direct Plan - Growth,116.4436,13-10-2021
SBI Small Cap Fund - Direct Plan - Growth,115.2274,12-10-2021
SBI Small Cap Fund - Direct Plan - Growth,115.1336,11-10-2021
SBI Small Cap Fund - Direct Plan - Growth,114.3972,08-10-2021
SBI Small Cap Fund - Direct Plan - Growth,113.9512,07-10-2021
SBI Small Cap Fund - Direct Plan - Growth,112.5383,06-10-2021
SBI Small Cap Fund - Direct Plan - Growth,112.8715,05-10-2021
SBI Small Cap Fund - Direct Plan - Growth,112.8335,04-10-2021
SBI Small Cap Fund - Direct Plan - Growth,110.9385,01-10-2021
SBI Small Cap Fund - Direct Plan - Growth,110.1672,30-09-2021
SBI Small Cap Fund - Direct Plan - Growth,109.4882,29-09-2021
SBI Small Cap Fund - Direct Plan - Growth,109.4454,28-09-2021
SBI Small Cap Fund - Direct Plan - Growth,109.313,27-09-2021
SBI Small Cap Fund - Direct Plan - Growth,109.5436,24-09-2021
SBI Small Cap Fund - Direct Plan - Growth,110.2011,23-09-2021
